"823-8-O123","DISEÑO REPOSICION SUBCOMISARIA MACHALI","DISEÑO DE OBRA REPOSICION CON RELOCALIZACION SUBCOMISARIA MACHALI","No público","05/10/2023","19/01/2024"
"5048-49-O123","PREC. REPOSICIÓN PUENTE PALENA Y PUENTE ROSSELOT","El presente proyecto contempla la reposición de los Puentes Palena Exequiel González y Rosselot Sergio Sepúlveda, emplazados en el tramo Límite Regional – La Junta Ruta 7, Comuna de Cisnes, Región de Aysén del General Carlos Ibáñez del Campo.","No público","12/10/2023","29/11/2023"
"4160-59-LQ23","DISEÑO DE ARQUITECTURA Y ESPECIALIDADES CENTRO DE RESOLUCION COMUNAL DROGUERIA Y DAS HUALPEN.","La Municipalidad de Hualpén convoca mediante licitación pública, al desarrollo de una propuesta de arquitectura eficiente, armónica y equilibrada, que satisfaga integralmente los requerimientos conceptuales, funcionales, especiales y urbanísticos para la construcción del nuevo Centro de Resolución Comunal, Droguería y dependencias DAS.
"1057439-10-LR23","C. S. de Informes de Teleradiologia","Compra de servicios de informe de teleradiología para cubrir todos  los informes de exámenes en horario inhábil y aquellos que requieren informe urgente en horario hábil pero por vacaciones o permisos el radiólogo asignado a esta área no está disponible.","$346.562.000","24/10/2023","23/11/2023"
"621-823-LR23","MESNA 400 MG4 ML FAMAM 1000018785","BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD","$473.686.987","25/10/2023","24/11/2023"
"621-844-LR23","CALCIO FOLINATOLEUCOV50MG S.INY. FAM 1000018807","BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD","$894.664.586","25/10/2023","24/11/2023"
"2189-64-LR23","Conservación Infraestructura y Sistema Eléctrico Bodega Abastecimiento SSMaule","Conservación Infraestructura y Sistema Eléctrico Bodega Abastecimiento, SSMaule, según documentación técnica adjunta.-","Igual o superior a 5.000 UTM","17/10/2023","27/11/2023"
"1180817-10-LQ23","REPOSICIÓN AMBULANCIAS BÁSICA Y AVANZADA PARA SSA","El Servicio de Salud Aysén solicita ofertas de interesados en participar del proceso de adquisición denominada “REPOSICIÓN DE UNA AMBULANCIA BÁSICA Y UNA AMBULANCIA AVANZADA PARA LA RED ASISTENCIAL DEL SERVICIO DE SALUD DE AYSÉN”, de acuerdo a los requerimientos de las presentes Bases de Licitación, en conformidad a lo establecido en la Ley 19.886 sobre compras y contrataciones públicas y su reglamento.
"2904-42-LR23","REPOSICIÓN Y ADQUISICIÓN DE CAMIÓN COMPACTADOR Y CONTENEDORES DE BASURA MUNICIPALIDAD DE HUALAIHUÉ","Adquisición de 03 camiones recolectores de basura, (Nuevos sin uso) año 2023 o superior y 190 contenedores galvanizados (Nuevos sin uso)","$834.989.000","25/10/2023","27/11/2023"
"621-847-LR23","ANASTROZOL 1 MG CM REC 1000018897","BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD","$587.903.988","26/10/2023","27/11/2023"
"966131-43-LR23","Concesión Municipal Terminal Rural de Buses Castro","1.-	La necesidad de mejorar las condiciones actuales del Terminal Municipal de la comuna de Castro.-","Igual o superior a 5.000 UTM","11/05/2023","29/09/2023"
"622-125-LR23","SERVICIOS DE ASEO LIMPIEZA OFICINAS TESORERIA GRAL","Contratación de servicios de aseo, limpieza y mantención para dependencias que se indican a continuación, para lo cual el adjudicatario contará con la información entregada en las Bases Técnicas, y respuestas a las aclaraciones, si las hubiere:
"1021609-24-LQ23","CS INSUMOS CLINICOS VIA AEREA 2","La presente licitación tiene por objeto asegurar la provisión de productos imprescindibles para la atención de los usuarios beneficiarios del Hospital, considerando la eventual vulneración de los atributos de calidad, seguridad, disponibilidad, permanencia, oportunidad, además de evitar quiebres de stock o sobre stock que merman la eficiencia de la gestión logística de los productos que serán considerados en esta licitación, radicando en ella la importancia de adjudicar los suministros de largo plazo oportunamente.","Igual o superior a 2.000 UTM e inferior a 5.000 UTM","02/11/2023","24/11/2023"
"907581-1-LR23","Arriendo de computadores Universidad de Valparaíso","Convenio de suministro de arriendo de computadores para la Universidad de Valparaíso.","Igual o superior a 5.000 UTM","24/10/2023","23/11/2023"
"812030-58-LR23","CAJA DE PLACAS DE CRECIMIENTO GUIADO HLF","Las presentes bases de licitación son formuladas para establecer la regulación del proceso de adquisición de
"5407-142-O123","PPP 31 llamado LP23 Coronel","La presente licitación consiste en la construcción de las obras detalladas en las Especificaciones Técnicas y Planos correspondientes al “PROGRAMA DE PAVIMENTACIÓN PARTICIPATIVA 32° PROCESO DE SELECCIÓN, LP23 CORONEL”, debiéndose ejecutar de tal manera de minimizar los inconvenientes a los usuarios de las vías y habitantes del sector.","No público","30/10/2023","27/11/2023"
"1261-42-LR23","Clínicas ginecológicas móviles","Adquisición de clínicas ginecológicas móviles para diversas comunas de la región metropolitana.
"621-835-LR23","ILOPROST 20 MCGML SOL.PINH.NEB. AM 1ML 1000018904","BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD","$481.444.145","06/11/2023","06/12/2023"
"1057500-101-LQ23","REHABILITACION TIPO 1 Y 2 COMUNA LA GRANJA","El Servicio de Salud Metropolitano Sur Oriente, en adelante también el SERVICIO o SSMSO. requiere efectuar la contratación de los Servicios de Rehabilitación Tipo I y Tipo II para personas con discapacidad de causa Psíquica para la comuna de La Granja, conforme a las condiciones y especificaciones técnicas establecidas en las presentes Bases.
"621-887-LR23","CIPRODEXAM 3MG1MGML S.OFT.FRA 5 A10ML  1000018852","BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD","$312.704.983","07/11/2023","07/12/2023"
"1150-24-LR23","TÉRMINO OBRAS AMPL. Y MEJORAMIENTO APR SAN MANUEL","TÉRMINO DE OBRAS AMPLIACIÓN Y MEJORAMIENTO DE SERVICIO DE APR SAN MANUEL, MELIPILLA","$1.500.000.000","07/11/2023","11/12/2023"
"4988-62-LP23","CONSTRUCCION AREA VERDE CONJUNTO RESIDENCIAL BELLAVISTA CONCEPCION","LA INTERVENCIÓN PROYECTA PAVIMENTOS EN ADOCRETO, PLATAFORMA DURA PARA ACTIVIDADES CIVICAS, JARDINERAS, MEJORAMIENTO DE LA ILUMINACION, RETIRO Y REEMPLAZO DE JUEGOS, CIERRE PERIMETRAL, ETC.","Igual o superior a 1.000 UTM e inferior a 2.000 UTM","07/11/2023","07/12/2023"
"2026-179-LR23","INSTRUMENTAL GINE-OBST URO Y OFTALMOLOGÍA - HGF","Según indican bases adjuntas","Igual o superior a 5.000 UTM","08/11/2023","11/12/2023"
"1549-141-LQ23","SERV. DE CUSTODIA Y GESTIÓN DE DOCUMENTOS DEL HSJ","El Hospital San José requiere contratar servicio de almacenaje, custodia, manejo y conservación de documentos a objeto de dar continuidad al servicio de consulta, así como el traslado, expurgo y disposición de los activos documentales, con miras a preservar el patrimonio documental institucional del Hospital San José. Actualmente la institución cuenta con aproximadamente 15.000 cajas almacenadas.
"1523-132-LQ23","Propuesta Pública Nº 16423 “PRESTACIONES DE CIRUGÍAS VASCULARES PARA EL HOSPITAL DR. ABRAHAM GODOY PEÑA DE LAUTARO”","Propuesta Pública Nº 164/23 “PRESTACIONES DE CIRUGÍAS VASCULARES PARA EL HOSPITAL DR. ABRAHAM GODOY PEÑA DE LAUTARO”","Igual o superior a 2.000 UTM e inferior a 5.000 UTM","08/11/2023","24/11/2023"
"1171142-145-LP23","Lic N°156-23 Suministro de aparatos de ortodoncia para CAPLC y Consultorio Miraflores","El Complejo Asistencial Padre Las Casas, consecuente con la política de mejorar la oportunidad y la calidad de atención a los usuarios del sistema público de salud de la comuna de Padre Las Casas y alrededores, ha determinado convocar la presente licitación para garantizar la adquisición de aparatos de ortodoncia, por un periodo de 24 meses O HASTA QUE LOS FONDOS DISPONIBLES PARA LA LICITACIÓN SE HUBIESEN AGOTADO O EXTINGUIDO, pudiendo ser renovado hasta por 12 meses más, bajo las mismas condiciones de las presentes bases.","$81.000.000","08/11/2023","30/11/2023"
"1605-122-LQ23","LP-1415 Renovación Licencias Control-M","El objetivo de la presente licitación es la renovación de la Garantía de licencias de Software Control-M modalidad Platform de propiedad del SII para un periodo de 36 meses, las cuales son utilizadas para automatizar, programar y monitorear procesos de negocio","Igual o superior a 2.000 UTM e inferior a 5.000 UTM","08/11/2023","28/11/2023"
"1641-276-LP23","IVM KIT ASPIRACIÓN ULTRASÓNICA CON EQUIPO ASOCIADO","El objeto de la presente licitación es la adquisición de KIT ASPIRACIÓN ULTRASÓNICA CON EQUIPO ASOCIADO","Igual o superior a 1.000 UTM e inferior a 2.000 UTM","08/11/2023","28/11/2023"
"1070620-112-LQ23","XAR examenes inmunologicos con equipo en comodato","El Hospital Dr. Ernesto Torres Galdames por un período de 48 meses, requiere contar con los bienes necesarios para el adecuado funcionamiento y atenciones diarias a pacientes hospitalizados y ambulatorios que necesitan exámenes inmunológicos, otorgando un servicio con la efectividad, seguridad y condiciones de calidad que éstos requieren.
"1613-7-LR23","SERVICIOS DE VIGILANCIA PARA LAS SUCURSALES FONASA","Los SERVICIO DE VIGILANCIA PARA LAS 9 SUCURSALES DE LA DIRECCION ZONAL NORTE DE FONASA, DESDE LA REGIÓN DE ARICA Y PARINACOTA HASTA LA REGIÓN DE ATACAMA.,","Igual o superior a 5.000 UTM","07/11/2023","14/12/2023"
"1057501-138-LR23","CONVENIO IMPLANTES COCLEARES Y ACCESORIOS","la necesidad de tratamiento para pacientes CASR","Igual o superior a 5.000 UTM","07/11/2023","07/12/2023"
"1175-270-LP23","LIC. 281.23ARRIENDO SIMULADOR PEDIATRICO ALTA FID","Se requiere el Arriendo Simulador Pediátrico de Alta Fidelidad Unidad Simulación Clínica Servicio Salud Araucanía Sur, nuevo y sin uso. Las características técnicas, se detallan en el ANEXO Nº 4 de las presentes bases. Debe cumplir con todas las características marcadas como obligatorias para que la oferta sea admisible.
"5751-48-O123","“CONSTRUCCIÓN PUENTE COCHRANE Y ACCESOS. VALDIVIA","EL PROYECTO PUENTE COCHRANE CONSISTE EN LA CONSTRUCCIÓN Y OPERACIÓN DE UN PUENTE DE TIPOLOGÍA CONVENCIONAL, QUE
"552578-44-LP23","CONSTRUCCIÓN LOCALES COMERCIALES SAN RAFAEL","CONSTRUCCIÓN LOCALES COMERCIALES SAN RAFAEL","Igual o superior a 1.000 UTM e inferior a 2.000 UTM","08/11/2023","29/11/2023"
